code,name,price,date
bj920266,生物谷,6.5,2024-03-15
bj920267,鑫汇科,14.38,2024-03-15
bj920270,天铭科技,13.41,2024-03-15
bj920271,邦德股份,10.25,2024-03-15
bj920273,一致魔芋,18.56,2024-03-15
bj920274,宏裕包材,16.19,2024-03-15
bj920275,驱动力,6.02,2024-03-15
bj920278,鹿得医疗,5.86,2024-03-15
bj920284,灵鸽科技,21.35,2024-03-15
bj920299,灿能电力,17.05,2024-03-15
bj920300,辰光医疗,10.23,2024-03-15
bj920304,迪尔化工,8.7,2024-03-15
bj920339,恒太照明,12.99,2024-03-15
bj920344,三元基因,19.69,2024-03-15
bj920346,威贸电子,16.01,2024-03-15
bj920351,华光源海,11.82,2024-03-15
bj920357,雅葆轩,19.88,2024-03-15
bj920363,莱赛激光,12.55,2024-03-15
bj920367,新赣江,21.8,2024-03-15
bj920368,连城数控,29.46,2024-03-15
bj920370,新安洁,2.49,2024-03-15
bj920371,欧福蛋业,6.86,2024-03-15
bj920374,云里物里,14.82,2024-03-15
bj920375,派诺科技,6.99,2024-03-15
bj920378,泰德股份,7.65,2024-03-15
bj920392,佳合科技,14.37,2024-03-15
bj920394,民士达,61.31,2024-03-15
bj920395,朗鸿科技,7.35,2024-03-15
bj920396,常辅股份,21.89,2024-03-15
bj920402,硅烷科技,13.2,2024-03-15
bj920403,康农种业,15.81,2024-03-15
bj920405,海希通讯,19.98,2024-03-15
bj920407,驰诚股份,14.02,2024-03-15
bj920414,欧普泰,8.39,2024-03-15
bj920415,恒拓开源,9.47,2024-03-15
bj920418,苏轴股份,22.31,2024-03-15
bj920419,路斯股份,9.79,2024-03-15
bj920422,润普食品,8.85,2024-03-15
bj920425,乐创技术,24.52,2024-03-15
bj920427,华维设计,9.73,2024-03-15
bj920429,康比特,9.79,2024-03-15
bj920433,大唐药业,4.65,2024-03-15
bj920436,大地电气,10.69,2024-03-15
bj920438,戈碧迦,144.59,2024-03-15
bj920445,龙竹科技,6.53,2024-03-15
bj920454,同心传动,11.81,2024-03-15
bj920455,汇隆活塞,5.95,2024-03-15
bj920469,富恒新材,6.26,2024-03-15
bj920471,美邦科技,11.66,2024-03-15
bj920475,三友科技,12.2,2024-03-15
bj920476,海能技术,23.97,2024-03-15
bj920478,峆一药业,10.6,2024-03-15
bj920489,佳先股份,18.63,2024-03-15
bj920491,奥迪威,31.0,2024-03-15
bj920493,并行科技,110.37,2024-03-15
