date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-05,10.0662,0.6984,0.6198,0.0785,0.0986,0.0
2026-02-06,9.9815,0.5068,0.5915,-0.0847,0.0933,0.0
2026-02-09,10.1688,0.8447,0.6574,0.1873,0.0928,0.0
2026-02-10,10.1918,0.5872,0.5642,0.023,0.092,0.0
2026-02-11,10.0893,0.8109,0.9134,-0.1025,0.0922,0.0
2026-02-12,9.9639,0.6462,0.7716,-0.1254,0.0889,0.0
2026-02-13,9.5641,0.4696,0.8694,-0.3999,0.0853,0.0
2026-02-24,9.9647,0.8629,0.4622,0.4007,0.0863,0.0
2026-02-25,10.1627,0.8711,0.6731,0.198,0.0875,0.0
2026-02-26,10.2862,0.887,0.7635,0.1235,0.0877,0.0
2026-02-27,10.5057,1.2516,1.0322,0.2195,0.0892,0.0
2026-03-02,10.6012,1.3496,1.2541,0.0956,0.0888,0.0
2026-03-03,10.5826,1.6321,1.6508,-0.0186,0.0817,0.0
2026-03-04,10.1877,0.5639,0.9588,-0.3949,0.0817,0.0
2026-03-05,10.12,0.4743,0.542,-0.0677,0.0827,0.0
2026-03-06,9.8005,0.5151,0.8347,-0.3196,0.084,0.0
2026-03-09,9.8006,0.5558,0.5556,0.0002,0.0838,0.0
2026-03-10,9.7186,0.5534,0.6354,-0.082,0.0852,0.0
2026-03-11,9.8717,1.3059,1.1529,0.153,0.097,0.0
2026-03-12,10.6423,3.019,2.2484,0.7706,0.1276,0.0
2026-03-13,11.2398,2.2187,1.6212,0.5975,0.132,0.0
2026-03-16,11.3508,1.2606,1.1496,0.111,0.1209,0.0
2026-03-17,11.2068,1.618,1.762,-0.144,0.1413,0.0
2026-03-18,11.3899,1.3986,1.2156,0.1831,0.1259,0.0
2026-03-19,11.2572,1.1252,1.2578,-0.1326,0.119,0.0
2026-03-20,11.1644,0.6448,0.7376,-0.0928,0.1094,0.0
2026-03-23,10.7977,0.7544,1.1211,-0.3667,0.093,0.0
2026-03-24,10.6532,0.7353,0.8798,-0.1445,0.0929,0.0
2026-03-25,10.4847,0.4027,0.5711,-0.1685,0.0958,0.0
2026-03-26,10.4465,0.3971,0.4353,-0.0382,0.0889,0.0
2026-03-27,10.3563,0.2812,0.3715,-0.0903,0.088,0.0
2026-03-30,10.2625,0.2675,0.3613,-0.0938,0.0921,0.0
2026-03-31,10.2594,0.862,0.8651,-0.0031,0.1001,0.0
2026-04-01,10.4011,0.5989,0.4572,0.1417,0.095,0.0
2026-04-02,10.3035,0.3339,0.4315,-0.0976,0.0899,0.0
2026-04-03,10.1103,0.2751,0.4682,-0.1931,0.0851,0.0
2026-04-07,10.0912,0.273,0.2922,-0.0191,0.0798,0.0
