date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-05,84.7659,1.1719,1.4371,-0.2653,0.0276,0.0
2026-02-06,85.2263,2.9819,2.5214,0.4604,0.0353,0.0
2026-02-09,86.4978,6.6283,5.3568,1.2715,0.0672,0.0
2026-02-10,86.3019,4.5388,4.7348,-0.1959,0.0894,0.0
2026-02-11,85.6969,2.7524,3.3573,-0.6049,0.0787,0.0
2026-02-12,86.5152,5.2238,4.4055,0.8183,0.0635,0.0
2026-02-13,85.3094,3.5958,4.8016,-1.2058,0.0724,0.0
2026-02-24,87.5584,5.6605,3.4116,2.2489,0.0757,0.0
2026-02-25,87.9061,3.9367,3.5889,0.3478,0.061,0.0
2026-02-26,87.9357,4.7018,4.6723,0.0295,0.0803,0.0
2026-02-27,87.1331,5.5608,6.3633,-0.8025,0.0937,0.0
2026-03-02,87.1049,4.5021,4.5304,-0.0283,0.0711,0.0
2026-03-03,85.1552,6.5818,8.5315,-1.9497,0.062,0.0
2026-03-04,84.4876,2.2128,2.8804,-0.6676,0.0549,0.0
2026-03-05,84.7095,3.8262,3.6043,0.2219,0.0538,0.0
2026-03-06,84.1488,1.5892,2.1499,-0.5607,0.0397,0.0
2026-03-09,84.3277,3.8372,3.6583,0.1789,0.0448,0.0
2026-03-10,85.0753,4.3199,3.5722,0.7477,0.0484,0.0
2026-03-11,84.7469,3.5047,3.8331,-0.3284,0.0349,0.0
2026-03-12,86.1737,7.309,5.8822,1.4268,0.0625,0.0
2026-03-13,86.1884,4.912,4.8973,0.0147,0.0554,0.0
2026-03-16,85.4752,3.2576,3.9709,-0.7133,0.0529,0.0
2026-03-17,85.4115,2.8722,2.9359,-0.0637,0.0447,0.0
2026-03-18,85.0923,3.6661,3.9853,-0.3192,0.0527,0.0
2026-03-19,82.7586,2.8013,5.135,-2.3337,0.0427,0.0
2026-03-20,82.6651,3.7288,3.8223,-0.0935,0.0461,0.0
2026-03-23,81.73,3.1944,4.1295,-0.9351,0.0423,0.0
2026-03-24,82.1141,2.6568,2.2727,0.3841,0.04,0.0
2026-03-25,82.4881,3.5878,3.2138,0.374,0.0554,0.0
2026-03-26,82.1708,2.6614,2.9786,-0.3172,0.0586,0.0
2026-03-27,81.7956,2.2792,2.6544,-0.3752,0.0446,0.0
2026-03-30,80.5882,2.1527,3.3601,-1.2074,0.0564,0.0
2026-03-31,80.4421,1.7923,1.9385,-0.1461,0.0579,0.0
2026-04-01,80.8207,2.9051,2.5265,0.3786,0.0524,0.0
2026-04-02,80.2355,1.7992,2.3843,-0.5851,0.0494,0.0
2026-04-03,79.6243,1.4806,2.0918,-0.6112,0.0658,0.0
2026-04-07,79.8586,2.1135,1.8792,0.2343,0.073,0.0
2026-04-08,80.2706,4.5266,4.1146,0.4121,0.0809,0.0
2026-04-09,79.9832,3.3891,3.6765,-0.2874,0.0645,0.0
2026-04-10,79.7731,4.8833,5.0934,-0.2101,0.0691,0.0
2026-04-13,78.1747,5.931,7.5294,-1.5984,0.0626,0.0
2026-04-14,78.542,4.8833,4.516,0.3673,0.0711,0.0
2026-04-15,79.1197,6.02,5.4423,0.5777,0.084,0.0
2026-04-16,79.343,4.0812,3.8579,0.2233,0.0808,0.0
2026-04-17,79.6732,5.9614,5.6312,0.3302,0.1161,0.0
2026-04-20,78.3204,7.3888,8.7416,-1.3528,0.1174,0.0
2026-04-21,78.9175,5.1712,4.5741,0.5971,0.0891,0.0
2026-04-22,79.1427,5.4287,5.2035,0.2252,0.0622,0.0
2026-04-23,80.5225,8.4089,7.029,1.3798,0.0753,0.0
2026-04-24,80.9253,9.6984,9.2956,0.4028,0.0862,0.0
2026-04-27,86.8549,14.2816,8.352,5.9295,0.095,0.0
2026-04-28,88.6427,7.8585,6.0708,1.7878,0.0687,0.0
2026-04-29,88.4265,4.7978,5.014,-0.2162,0.0633,0.0
2026-04-30,87.5586,7.0661,7.934,-0.8679,0.0535,0.0
2026-05-06,91.8985,18.6803,14.3405,4.3398,0.1224,0.0
2026-05-07,92.9626,10.51,9.4459,1.0641,0.0894,0.0
2026-05-08,93.6988,9.6347,8.8985,0.7362,0.1015,0.0
2026-05-11,94.475,13.3309,12.5547,0.7762,0.126,0.0
2026-05-12,93.4253,9.0623,10.1121,-1.0497,0.1016,0.0
2026-05-13,93.2793,9.976,10.122,-0.146,0.1095,0.0
2026-05-14,96.051,15.6688,12.8971,2.7717,0.1132,0.0
2026-05-15,95.7067,9.2617,9.606,-0.3443,0.1113,0.0
2026-05-18,97.9452,13.2045,10.966,2.2385,0.133,0.0
2026-05-19,96.1501,8.0844,9.8795,-1.7951,0.1215,0.0
2026-05-20,96.6643,7.6858,7.1716,0.5142,0.1161,0.0
2026-05-21,94.2422,10.1017,12.5239,-2.4222,0.0952,0.0
2026-05-22,93.5289,7.6942,8.4075,-0.7133,0.1074,0.0
2026-05-25,92.6862,8.1862,9.0288,-0.8427,0.0991,0.0
2026-05-26,91.7305,9.3959,10.3517,-0.9558,0.1042,0.0
2026-05-27,91.2689,7.1294,7.5909,-0.4615,0.0785,0.0
2026-05-28,91.667,5.3195,4.9214,0.3981,0.0859,0.0
2026-05-29,91.4723,5.7861,5.9458,-0.1597,0.0708,0.0
2026-06-01,90.7479,3.6033,4.3277,-0.7243,0.071,0.0
2026-06-02,90.9248,3.6297,3.4529,0.1768,0.0692,0.0
2026-06-03,90.5876,4.4359,4.7731,-0.3372,0.0843,0.0
2026-06-04,89.9817,3.2475,3.8533,-0.6058,0.0662,0.0
2026-06-05,89.6961,4.4697,4.7553,-0.2856,0.0765,0.0
2026-06-08,88.9078,3.9273,4.7156,-0.7883,0.0607,0.0
2026-06-09,88.3147,2.4528,3.0359,-0.5831,0.0662,0.0
2026-06-10,89.4916,6.8047,5.6278,1.1769,0.1025,0.0
2026-06-11,90.1546,3.367,2.704,0.663,0.1537,0.0
2026-06-12,89.4892,3.1584,3.8238,-0.6654,0.1744,0.0
2026-06-15,91.1023,5.0119,3.3988,1.6131,0.1664,0.0
2026-06-16,90.622,3.9605,4.4407,-0.4803,0.179,0.0
2026-06-17,92.3504,6.1235,4.3951,1.7284,0.1728,0.0
2026-06-18,92.3707,6.0977,6.0774,0.0203,0.1664,0.0
2026-06-22,92.5809,5.9389,5.727,0.2118,0.1781,0.0
2026-06-23,92.244,6.0231,6.3599,-0.3369,0.1918,0.0
2026-06-24,92.8003,6.2112,5.6549,0.5563,0.1954,0.0
2026-06-25,93.5935,16.8694,16.0762,0.7932,0.2379,0.0
2026-06-26,100.5916,21.68,14.6819,6.9981,0.252,0.0
2026-06-29,100.5177,12.553,12.627,-0.0739,0.2124,0.0
2026-06-30,100.6148,17.6799,17.5828,0.0971,0.2757,0.0
2026-07-01,104.3834,22.8926,19.124,3.7686,0.2285,0.0
2026-07-02,101.9451,10.707,13.1452,-2.4382,0.214,0.0
2026-07-03,102.1327,10.2049,10.0173,0.1876,0.1754,0.0
2026-07-06,101.4685,11.1012,11.7654,-0.6642,0.1569,0.0
2026-07-07,101.0816,7.553,7.9399,-0.3869,0.1796,0.0
2026-07-08,100.8444,13.4551,13.6924,-0.2373,0.2241,0.0
2026-07-09,100.7009,14.8199,14.9633,-0.1434,0.2565,0.0
