date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-03-13,5.4976,1.363,1.1495,0.2135,0.0464,0.0
2026-03-16,5.8235,1.2577,0.9318,0.3259,0.0518,0.0
2026-03-17,5.7405,1.2963,1.3794,-0.083,0.0723,0.0
2026-03-18,5.7281,0.677,0.6893,-0.0123,0.0938,0.0
2026-03-19,5.7188,0.4578,0.4672,-0.0094,0.0901,0.0
2026-03-20,4.9438,1.3856,2.1605,-0.7749,0.0693,0.0
2026-03-23,4.8733,0.8604,0.9309,-0.0705,0.0447,0.0
2026-03-24,4.968,0.6464,0.5516,0.0947,0.0576,0.0
2026-03-25,5.1182,1.4827,1.3326,0.1501,0.0882,0.0
2026-03-26,5.3897,0.9359,0.6644,0.2715,0.0768,0.0
2026-03-27,5.3074,0.6531,0.7354,-0.0823,0.0587,0.0
2026-03-30,5.519,0.7505,0.5389,0.2116,0.0618,0.0
2026-03-31,5.4478,0.8512,0.9224,-0.0712,0.0556,0.0
2026-04-01,5.4094,0.8577,0.8961,-0.0384,0.0829,0.0
2026-04-02,5.6285,1.0778,0.8587,0.2191,0.0692,0.0
2026-04-03,5.9723,1.8102,1.4664,0.3438,0.0754,0.0
2026-04-07,6.6285,2.3186,1.6623,0.6562,0.096,0.0
2026-04-08,8.0156,3.0678,1.6806,1.3871,0.1022,0.0
2026-04-09,8.3681,2.2319,1.8794,0.3525,0.1016,0.0
2026-04-10,8.3222,1.7628,1.8087,-0.0459,0.102,0.0
2026-04-13,8.2866,1.9172,1.9527,-0.0356,0.1108,0.0
2026-04-14,8.8384,2.1928,1.641,0.5518,0.109,0.0
2026-04-15,9.2437,1.8128,1.4075,0.4053,0.112,0.0
2026-04-16,9.2994,1.4835,1.4279,0.0556,0.1087,0.0
2026-04-17,9.0643,1.7315,1.9666,-0.2351,0.1269,0.0
2026-04-20,9.1738,2.4165,2.307,0.1095,0.1383,0.0
2026-04-21,9.18,1.9274,1.9211,0.0062,0.1356,0.0
2026-04-22,8.9982,1.9836,2.1654,-0.1818,0.1262,0.0
2026-04-23,8.8932,1.8615,1.9665,-0.105,0.1291,0.0
2026-04-24,8.5035,1.7445,2.1342,-0.3897,0.1323,0.0
2026-04-27,8.2295,1.4469,1.721,-0.274,0.1327,0.0
2026-04-28,8.7696,1.6645,1.1244,0.5401,0.1459,0.0
2026-04-29,8.6357,2.1102,2.2441,-0.1339,0.1291,0.0
2026-04-30,8.8826,2.2374,1.9905,0.2469,0.0825,0.0
2026-05-06,8.8362,2.1429,2.1893,-0.0464,0.0676,0.0
2026-05-07,9.6733,2.5767,1.7396,0.8371,0.0776,0.0
2026-05-08,9.7583,2.0226,1.9376,0.085,0.0821,0.0
2026-05-11,10.8203,3.5744,2.5124,1.062,0.1116,0.0
2026-05-12,10.9214,2.6861,2.5851,0.1011,0.0957,0.0
2026-05-13,11.5793,2.7544,2.0965,0.658,0.1175,0.0
2026-05-14,11.3216,3.0314,3.2891,-0.2577,0.1407,0.0
2026-05-15,11.2067,3.1869,3.3018,-0.1149,0.1733,0.0
2026-05-18,9.747,1.9865,3.4462,-1.4598,0.1557,0.0
2026-05-19,10.0994,2.621,2.2686,0.3524,0.1804,0.0
2026-05-20,10.1317,2.0444,2.012,0.0324,0.18,0.0
2026-05-21,9.7643,2.2833,2.6507,-0.3675,0.1613,0.0
2026-05-22,10.1347,2.4271,2.0567,0.3704,0.1238,0.0
2026-05-25,10.0624,2.4559,2.5282,-0.0723,0.1283,0.0
2026-05-26,9.7779,2.1517,2.4362,-0.2845,0.0666,0.0
2026-05-27,9.4721,1.5407,1.8465,-0.3058,0.0598,0.0
2026-05-28,10.1906,2.2463,1.5277,0.7185,0.071,0.0
2026-05-29,9.7137,1.7376,2.2146,-0.4769,0.0643,0.0
2026-06-01,9.025,1.1115,1.8002,-0.6886,0.0533,0.0
2026-06-02,8.2624,0.9086,1.6713,-0.7626,0.0483,0.0
2026-06-03,9.2908,2.2922,1.2639,1.0284,0.0504,0.0
2026-06-04,9.4849,1.6181,1.424,0.1941,0.0483,0.0
2026-06-05,9.0988,1.1005,1.4866,-0.3861,0.0469,0.0
2026-06-08,8.92,1.2666,1.4455,-0.1788,0.0436,0.0
2026-06-09,8.6909,1.1642,1.3933,-0.2291,0.0512,0.0
2026-06-10,8.5678,1.0175,1.1406,-0.1231,0.0484,0.0
2026-06-11,9.4235,1.8559,1.0002,0.8558,0.0438,0.0
2026-06-12,9.9721,2.277,1.7284,0.5485,0.0442,0.0
2026-06-15,9.9796,2.182,2.1744,0.0076,0.0506,0.0
2026-06-16,10.5983,2.7987,2.1801,0.6186,0.0921,0.0
2026-06-17,11.4301,2.7369,1.9051,0.8318,0.1226,0.0
2026-06-18,11.8163,3.5042,3.118,0.3862,0.1342,0.0
2026-06-22,12.6423,2.2435,1.4175,0.826,0.1573,0.0
2026-06-23,13.7996,5.9591,4.8018,1.1574,0.1348,0.0
2026-06-24,13.4086,3.6585,4.0495,-0.391,0.1278,0.0
2026-06-25,14.8784,4.2899,2.8201,1.4698,0.1371,0.0
2026-06-26,13.8077,2.6369,3.7076,-1.0707,0.1242,0.0
2026-06-29,13.4255,3.0423,3.4245,-0.3822,0.0781,0.0
2026-06-30,13.464,2.6461,2.6077,0.0384,0.0767,0.0
2026-07-01,12.1699,1.5075,2.8016,-1.2941,0.0443,0.0
2026-07-02,11.3057,1.0801,1.9444,-0.8642,0.0384,0.0
2026-07-03,11.0944,1.0927,1.3039,-0.2112,0.0402,0.0
2026-07-06,10.5141,0.6654,1.2456,-0.5803,0.0356,0.0
2026-07-07,10.1587,0.6785,1.034,-0.3554,0.0242,0.0
2026-07-08,9.9716,0.6544,0.8415,-0.1871,0.0231,0.0
2026-07-09,10.3077,1.4138,1.0777,0.3361,0.0242,0.0
2026-07-10,10.0966,1.1641,1.3751,-0.211,0.0233,0.0
2026-07-13,9.6733,0.669,1.0924,-0.4234,0.02,0.0
2026-07-14,9.708,0.8435,0.8088,0.0347,0.0206,0.0
2026-07-15,9.5593,0.6995,0.8482,-0.1487,0.0223,0.0
2026-07-16,9.334,1.0526,1.278,-0.2253,0.0191,0.0
2026-07-17,8.2795,0.6372,1.6918,-1.0545,0.0148,0.0
2026-07-20,8.1257,1.0482,1.2019,-0.1537,0.0214,0.0
2026-07-21,8.129,1.2855,1.2823,0.0032,0.0155,0.0
2026-07-22,8.65,1.2971,0.7761,0.521,0.0901,0.0
2026-07-23,8.5875,0.5266,0.5891,-0.0625,0.0874,0.0
2026-07-24,8.3904,0.3538,0.5509,-0.197,0.0856,0.0
2026-07-27,8.3967,0.6649,0.6586,0.0063,0.0877,0.0
2026-07-28,8.1455,0.535,0.7862,-0.2513,0.0807,0.0
2026-07-29,8.0343,0.7689,0.8801,-0.1112,0.0781,0.0
2026-07-30,7.8025,0.6012,0.8329,-0.2317,0.0693,0.0
2026-07-31,8.2771,1.3353,0.8608,0.4746,0.0662,0.0
2026-08-03,8.1632,0.6126,0.7266,-0.1139,0.0614,0.0
2026-08-04,8.0698,0.8725,0.9659,-0.0934,0.0648,0.0
2026-08-05,8.5589,1.6348,1.1457,0.4892,0.1031,0.0
2026-08-06,8.4589,0.8915,0.9915,-0.1,0.1132,0.0
