date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-03-13,33.327,1.8401,2.2465,-0.4064,0.162,0.0
2026-03-16,34.1106,5.6812,4.8976,0.7836,0.226,0.0
2026-03-17,34.1121,4.1779,4.1765,0.0015,0.2436,0.0
2026-03-18,35.5237,6.8406,5.429,1.4116,0.3737,0.0
2026-03-19,35.2789,3.6728,3.9176,-0.2447,0.352,0.0
2026-03-20,34.5719,5.4534,6.1604,-0.707,0.3853,0.0
2026-03-23,34.3095,3.2124,3.4747,-0.2623,0.32,0.0
2026-03-24,34.4982,2.272,2.0833,0.1887,0.3511,0.0
2026-03-25,34.2991,2.8759,3.075,-0.1991,0.3527,0.0
2026-03-26,34.0425,2.0388,2.2953,-0.2566,0.2712,0.0
2026-03-27,33.7122,2.6446,2.975,-0.3303,0.2793,0.0
2026-03-30,33.5576,2.5058,2.6603,-0.1545,0.2876,0.0
2026-03-31,33.6617,3.0719,2.9678,0.1041,0.2784,0.0
2026-04-01,33.0069,2.085,2.7398,-0.6548,0.2679,0.0
2026-04-02,32.6084,1.7963,2.1947,-0.3984,0.2394,0.0
2026-04-03,32.519,1.7317,1.8211,-0.0895,0.2723,0.0
2026-04-07,32.4098,1.5933,1.7025,-0.1092,0.2822,0.0
2026-04-08,32.8943,3.9507,3.4662,0.4845,0.2543,0.0
2026-04-09,33.584,3.9295,3.2397,0.6897,0.2668,0.0
2026-04-10,34.7309,8.3156,7.1687,1.147,0.3037,0.0
2026-04-13,33.7059,4.7501,5.7752,-1.0251,0.235,0.0
2026-04-14,32.8265,5.1849,6.0643,-0.8794,0.2764,0.0
2026-04-15,33.5935,5.9721,5.2051,0.767,0.2207,0.0
2026-04-16,32.9463,3.3079,3.955,-0.6472,0.1895,0.0
2026-04-17,33.2782,5.7677,5.4359,0.3318,0.2944,0.0
2026-04-20,37.6282,13.1559,8.8058,4.35,0.3431,0.0
2026-04-21,33.684,0.3521,4.2963,-3.9442,0.2953,0.0
2026-04-22,42.7554,22.3511,13.2797,9.0714,0.2838,0.0
2026-04-23,39.9605,9.2758,12.0707,-2.7949,0.2505,0.0
2026-04-24,38.0578,4.0281,5.9309,-1.9027,0.1958,0.0
2026-04-27,37.8151,2.6939,2.9365,-0.2426,0.1704,0.0
2026-04-28,37.8496,2.5494,2.5149,0.0345,0.2264,0.0
2026-04-29,37.1896,2.377,3.037,-0.66,0.2154,0.0
2026-04-30,36.9604,2.2225,2.4518,-0.2292,0.2023,0.0
2026-05-06,37.2083,4.5378,4.2899,0.2479,0.1412,0.0
2026-05-07,37.7229,5.2676,4.7529,0.5147,0.1529,0.0
2026-05-08,37.1565,3.6759,4.2424,-0.5665,0.1551,0.0
2026-05-11,38.7201,5.5986,4.035,1.5636,0.1542,0.0
2026-05-12,38.9557,3.8504,3.6149,0.2356,0.1523,0.0
2026-05-13,37.9504,5.4862,6.4915,-1.0052,0.199,0.0
2026-05-14,39.2048,5.987,4.7326,1.2544,0.17,0.0
2026-05-15,39.1429,4.1166,4.1785,-0.0619,0.1583,0.0
2026-05-18,39.3666,3.7758,3.5521,0.2237,0.141,0.0
2026-05-19,39.5824,3.8427,3.6269,0.2158,0.1482,0.0
2026-05-20,41.3132,7.3825,5.6518,1.7307,0.1926,0.0
2026-05-21,40.0623,5.6583,6.9092,-1.2508,0.1923,0.0
2026-05-22,39.7083,3.8049,4.1588,-0.354,0.2417,0.0
2026-05-25,39.3672,4.1806,4.5217,-0.3411,0.2652,0.0
2026-05-26,39.73,6.4698,6.107,0.3628,0.2613,0.0
2026-05-27,39.9916,4.6092,4.3476,0.2616,0.2782,0.0
2026-05-28,40.0898,3.1868,3.0886,0.0982,0.295,0.0
2026-05-29,39.6206,4.0848,4.554,-0.4692,0.2351,0.0
2026-06-01,40.6211,3.3406,2.3401,1.0005,0.2642,0.0
2026-06-02,40.4684,2.3656,2.5184,-0.1527,0.2095,0.0
2026-06-03,41.5699,4.235,3.1334,1.1016,0.1816,0.0
2026-06-04,41.1526,2.6624,3.0797,-0.4173,0.1907,0.0
2026-06-05,40.649,2.0978,2.6014,-0.5036,0.1847,0.0
2026-06-08,39.911,1.2917,2.0297,-0.738,0.1944,0.0
2026-06-09,41.0382,4.5457,3.4184,1.1272,0.2136,0.0
2026-06-10,42.8135,5.3427,3.5675,1.7752,0.2589,0.0
2026-06-11,42.2845,1.8509,2.3799,-0.529,0.2349,0.0
2026-06-12,42.6402,2.5298,2.1741,0.3557,0.2486,0.0
2026-06-15,43.0305,3.0664,2.6761,0.3903,0.263,0.0
2026-06-16,42.5141,4.315,4.8314,-0.5164,0.3002,0.0
2026-06-17,42.3581,3.4275,3.5835,-0.156,0.2957,0.0
2026-06-18,42.8861,4.2247,3.6967,0.528,0.2862,0.0
2026-06-22,43.5444,6.1356,5.4773,0.6583,0.2222,0.0
2026-06-23,44.1399,11.2733,10.6778,0.5955,0.2611,0.0
2026-06-24,44.8323,8.9344,8.242,0.6924,0.2747,0.0
2026-06-25,46.2808,9.316,7.8676,1.4484,0.3012,0.0
2026-06-26,45.9507,6.0452,6.3753,-0.3301,0.283,0.0
2026-06-29,45.3537,5.8393,6.4362,-0.5969,0.2626,0.0
2026-06-30,44.534,4.3863,5.2061,-0.8198,0.2811,0.0
2026-07-01,43.6067,4.8093,5.7366,-0.9273,0.2557,0.0
2026-07-02,43.5725,3.1691,3.2032,-0.0342,0.2082,0.0
2026-07-03,43.2642,2.3653,2.6736,-0.3083,0.2329,0.0
2026-07-06,43.9019,4.5321,3.8944,0.6377,0.2709,0.0
2026-07-07,43.6993,2.549,2.7517,-0.2026,0.2696,0.0
2026-07-08,43.2068,2.6432,3.1357,-0.4925,0.2782,0.0
2026-07-09,42.9713,3.8023,4.0378,-0.2355,0.294,0.0
2026-07-10,43.0712,4.526,4.4261,0.0999,0.2858,0.0
2026-07-13,42.631,2.4262,2.8665,-0.4403,0.2593,0.0
2026-07-14,42.3382,2.7501,3.0429,-0.2928,0.2723,0.0
2026-07-15,41.1825,1.7304,2.8861,-1.1557,0.258,0.0
2026-07-16,40.5447,2.004,2.6418,-0.6378,0.2589,0.0
2026-07-17,39.5398,1.8161,2.821,-1.0049,0.2331,0.0
2026-07-20,38.3151,1.5619,2.7866,-1.2247,0.223,0.0
2026-07-21,37.8238,2.2742,2.7655,-0.4913,0.2233,0.0
2026-07-22,37.9779,2.5361,2.3819,0.1541,0.2198,0.0
2026-07-23,38.0233,1.3689,1.3234,0.0455,0.2331,0.0
2026-07-24,37.4382,0.8452,1.4303,-0.5851,0.2366,0.0
2026-07-27,37.8864,1.5602,1.112,0.4481,0.247,0.0
