date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-03-10,6.882,1.273,1.0757,0.1973,0.1214,0.0
2026-03-11,7.441,1.6993,1.1404,0.5589,0.1112,0.0
2026-03-12,7.1339,0.6374,0.9445,-0.3071,0.0923,0.0
2026-03-13,7.0557,0.903,0.9811,-0.0781,0.0895,0.0
2026-03-16,6.9874,0.7995,0.8678,-0.0683,0.0451,0.0
2026-03-17,6.8576,0.5231,0.6529,-0.1298,0.0435,0.0
2026-03-18,6.3556,0.6623,1.1643,-0.502,0.0439,0.0
2026-03-19,6.4171,0.5357,0.4742,0.0615,0.087,0.0
2026-03-20,6.2352,0.7478,0.9296,-0.1819,0.0795,0.0
2026-03-23,6.0773,0.4129,0.5708,-0.158,0.0678,0.0
2026-03-24,5.7804,0.446,0.7429,-0.2969,0.0749,0.0
2026-03-25,5.7182,0.6677,0.7298,-0.0621,0.1124,0.0
2026-03-26,5.6029,0.4788,0.5941,-0.1153,0.1135,0.0
2026-03-27,5.4489,0.313,0.467,-0.154,0.1127,0.0
2026-03-30,5.4811,0.6034,0.5712,0.0322,0.1166,0.0
2026-03-31,5.452,0.3919,0.4211,-0.0291,0.1127,0.0
2026-04-01,5.4517,0.6644,0.6647,-0.0003,0.1004,0.0
2026-04-02,5.5821,0.7861,0.6557,0.1304,0.0989,0.0
2026-04-03,5.616,0.6972,0.6634,0.0338,0.1122,0.0
2026-04-07,5.7026,0.5906,0.5039,0.0866,0.0988,0.0
2026-04-08,5.1748,0.9296,1.4574,-0.5278,0.0749,0.0
2026-04-09,5.258,1.1062,1.023,0.0832,0.0799,0.0
2026-04-10,5.3824,1.4639,1.3395,0.1244,0.0912,0.0
2026-04-13,5.3968,0.887,0.8726,0.0144,0.0773,0.0
2026-04-14,5.6218,1.1079,0.8829,0.225,0.0674,0.0
2026-04-15,5.7332,0.9971,0.8857,0.1114,0.0568,0.0
2026-04-16,5.8206,1.2914,1.2041,0.0873,0.0576,0.0
2026-04-17,5.4909,1.0857,1.4154,-0.3297,0.0504,0.0
2026-04-20,6.0191,1.3247,0.7964,0.5282,0.066,0.0
2026-04-21,5.9729,0.6617,0.7079,-0.0463,0.0699,0.0
2026-04-22,6.2399,1.495,1.228,0.267,0.114,0.0
2026-04-23,6.9952,3.9414,3.186,0.7554,0.1461,0.0
2026-04-24,5.6807,1.8735,3.188,-1.3145,0.1209,0.0
2026-04-27,5.9156,1.2073,0.9724,0.2348,0.121,0.0
2026-04-28,5.8711,1.3528,1.3974,-0.0445,0.1022,0.0
2026-04-29,5.8336,1.0019,1.0393,-0.0374,0.0915,0.0
2026-04-30,5.8994,1.1495,1.0837,0.0658,0.0905,0.0
2026-05-06,5.5628,0.9292,1.2659,-0.3366,0.126,0.0
2026-05-07,5.9589,1.2432,0.8471,0.396,0.0971,0.0
2026-05-08,6.0349,1.2923,1.2162,0.0761,0.1098,0.0
2026-05-11,6.7088,1.5503,0.8764,0.6739,0.1248,0.0
2026-05-12,6.7821,1.1623,1.089,0.0733,0.1021,0.0
2026-05-13,6.5813,1.4171,1.618,-0.2008,0.0926,0.0
2026-05-14,7.0142,1.7248,1.2919,0.4329,0.0775,0.0
2026-05-15,7.0297,0.8718,0.8563,0.0155,0.0782,0.0
2026-05-18,7.2856,1.0546,0.7987,0.256,0.0799,0.0
2026-05-19,7.096,0.8275,1.0171,-0.1896,0.0665,0.0
2026-05-20,6.5881,1.0562,1.5641,-0.5079,0.0625,0.0
2026-05-21,6.5128,0.8496,0.9249,-0.0752,0.0644,0.0
2026-05-22,6.6609,0.8528,0.7048,0.148,0.0599,0.0
2026-05-25,6.4162,0.9712,1.2159,-0.2447,0.0611,0.0
2026-05-26,6.7853,1.5389,1.1697,0.3691,0.0559,0.0
2026-05-27,6.8085,1.0031,0.9799,0.0232,0.0551,0.0
2026-05-28,6.9024,0.9659,0.872,0.0939,0.0599,0.0
2026-05-29,7.3843,1.823,1.335,0.488,0.0577,0.0
2026-06-01,7.5166,0.9877,0.8554,0.1323,0.0559,0.0
2026-06-02,7.7875,1.2284,0.9574,0.2709,0.0504,0.0
2026-06-03,7.1729,0.5299,1.1445,-0.6146,0.0521,0.0
2026-06-04,7.6113,1.5632,1.1248,0.4384,0.0623,0.0
2026-06-05,7.7325,0.7743,0.6532,0.1212,0.0606,0.0
2026-06-08,7.9308,0.8925,0.6942,0.1984,0.0553,0.0
2026-06-09,7.9801,1.2818,1.2323,0.0495,0.0575,0.0
2026-06-10,7.7074,0.9283,1.2011,-0.2728,0.0552,0.0
2026-06-11,8.8129,2.2741,1.1685,1.1055,0.0382,0.0
2026-06-12,8.3659,1.6527,2.0997,-0.447,0.0922,0.0
2026-06-15,8.6068,1.2846,1.0437,0.2409,0.0662,0.0
2026-06-16,8.4337,0.8424,1.0155,-0.1731,0.0365,0.0
2026-06-17,8.9721,1.4668,0.9284,0.5385,0.0371,0.0
2026-06-18,8.9072,2.0947,2.1596,-0.065,0.0841,0.0
2026-06-22,9.0734,1.5764,1.4101,0.1663,0.063,0.0
2026-06-23,9.0454,0.9387,0.9667,-0.028,0.0447,0.0
2026-06-24,8.6353,0.7592,1.1694,-0.4102,0.04,0.0
2026-06-25,8.2891,0.6822,1.0284,-0.3461,0.0339,0.0
2026-06-26,7.9776,0.788,1.0995,-0.3115,0.0365,0.0
2026-06-29,7.8091,0.4593,0.6278,-0.1685,0.0338,0.0
2026-06-30,7.8041,0.7331,0.7381,-0.005,0.0435,0.0
2026-07-01,8.154,1.5224,1.1725,0.3499,0.0445,0.0
2026-07-02,8.0074,0.7826,0.9292,-0.1466,0.0439,0.0
2026-07-03,7.8558,0.7792,0.9309,-0.1516,0.0437,0.0
2026-07-06,7.5706,0.817,1.1021,-0.2851,0.0563,0.0
2026-07-07,7.8024,1.0219,0.7902,0.2317,0.0667,0.0
2026-07-08,7.8378,0.7745,0.739,0.0355,0.0398,0.0
2026-07-09,7.8837,1.0191,0.9732,0.0458,0.0375,0.0
2026-07-10,7.8001,0.8004,0.8839,-0.0835,0.0345,0.0
2026-07-13,7.4301,0.5364,0.9065,-0.3701,0.0346,0.0
2026-07-14,7.1638,0.6335,0.8998,-0.2663,0.0367,0.0
2026-07-15,7.2406,0.4056,0.3288,0.0768,0.0318,0.0
2026-07-16,7.1513,0.3987,0.488,-0.0893,0.0282,0.0
2026-07-17,7.0776,0.3635,0.4372,-0.0737,0.0257,0.0
2026-07-20,6.8926,0.3583,0.5432,-0.1849,0.0238,0.0
2026-07-21,6.7769,0.3536,0.4694,-0.1158,0.0253,0.0
2026-07-22,6.8915,0.6033,0.4886,0.1146,0.0236,0.0
2026-07-23,7.0914,0.7378,0.5378,0.1999,0.0243,0.0
2026-07-24,7.3696,0.9198,0.6416,0.2782,0.0243,0.0
2026-07-27,7.246,0.3411,0.4647,-0.1236,0.0304,0.0
2026-07-28,7.2365,0.3869,0.3965,-0.0095,0.0287,0.0
2026-07-29,7.357,0.5028,0.3822,0.1206,0.0285,0.0
2026-07-30,7.3613,0.4626,0.4583,0.0043,0.0249,0.0
2026-07-31,7.0362,0.3047,0.6299,-0.3252,0.027,0.0
2026-08-03,6.5598,0.2135,0.6899,-0.4764,0.0271,0.0
