date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-05,66.75,3.3607,3.5613,-0.2006,0.155,0.0
2026-02-06,66.4741,3.5017,3.7775,-0.2759,0.1338,0.0
2026-02-09,67.1376,4.7629,4.0993,0.6636,0.1388,0.0
2026-02-10,67.3706,4.0378,3.8048,0.2329,0.141,0.0
2026-02-11,66.9485,2.5926,3.0147,-0.4221,0.147,0.0
2026-02-12,68.7458,6.4271,4.6297,1.7974,0.136,0.0
2026-02-13,67.2849,3.3158,4.7768,-1.461,0.1397,0.0
2026-02-24,69.8951,7.1456,4.5354,2.6102,0.1573,0.0
2026-02-25,71.0888,5.0055,3.8117,1.1938,0.1627,0.0
2026-02-26,70.7736,3.14,3.4552,-0.3152,0.184,0.0
2026-02-27,70.9037,3.6792,3.5491,0.13,0.164,0.0
2026-03-02,69.3222,3.0214,4.6029,-1.5815,0.1551,0.0
2026-03-03,68.4103,4.3837,5.2955,-0.9119,0.1325,0.0
2026-03-04,67.1328,2.1812,3.4587,-1.2775,0.1242,0.0
2026-03-05,66.5633,2.0701,2.6395,-0.5694,0.1262,0.0
2026-03-06,65.8284,1.8937,2.6286,-0.7349,0.1291,0.0
2026-03-09,66.5368,3.1829,2.4746,0.7083,0.1439,0.0
2026-03-10,67.0665,3.4866,2.9569,0.5297,0.1294,0.0
2026-03-11,66.335,2.2228,2.9543,-0.7315,0.1838,0.0
2026-03-12,66.1747,1.6244,1.7846,-0.1603,0.1765,0.0
2026-03-13,65.7966,1.3094,1.6875,-0.3781,0.1704,0.0
2026-03-16,65.9158,2.2525,2.1333,0.1192,0.173,0.0
2026-03-17,65.5056,1.4282,1.8384,-0.4102,0.171,0.0
2026-03-18,65.6416,1.6921,1.5562,0.1359,0.2023,0.0
2026-03-19,64.9664,1.6209,2.296,-0.6752,0.1964,0.0
2026-03-20,63.7665,1.8371,3.0371,-1.1999,0.2054,0.0
2026-03-23,63.3678,2.2424,2.6411,-0.3987,0.1803,0.0
2026-03-24,63.4213,1.7068,1.6533,0.0535,0.1893,0.0
2026-03-25,63.2271,1.9136,2.1078,-0.1942,0.2017,0.0
2026-03-26,63.0846,1.009,1.1515,-0.1425,0.1852,0.0
2026-03-27,62.7288,0.8886,1.2444,-0.3558,0.1764,0.0
2026-03-30,63.1114,1.5198,1.1372,0.3826,0.1955,0.0
2026-03-31,63.2125,1.3415,1.2404,0.1011,0.1827,0.0
2026-04-01,63.422,1.5744,1.3649,0.2095,0.1863,0.0
2026-04-02,62.802,1.0031,1.623,-0.62,0.2158,0.0
2026-04-03,62.4592,0.8256,1.1685,-0.3429,0.1634,0.0
2026-04-07,62.4245,0.9048,0.9395,-0.0347,0.1767,0.0
2026-04-08,62.8918,2.85,2.3827,0.4674,0.1907,0.0
2026-04-09,62.8091,1.4495,1.5322,-0.0828,0.1945,0.0
2026-04-10,62.4229,2.0179,2.4041,-0.3862,0.1869,0.0
2026-04-13,62.3259,1.5358,1.6328,-0.097,0.1867,0.0
2026-04-14,62.1472,1.5892,1.7679,-0.1787,0.1706,0.0
2026-04-15,62.6147,2.1434,1.6759,0.4675,0.1528,0.0
2026-04-16,61.5637,1.8039,2.8548,-1.051,0.1417,0.0
2026-04-17,61.542,1.5268,1.5485,-0.0217,0.1464,0.0
2026-04-20,61.6835,2.368,2.2264,0.1415,0.1547,0.0
2026-04-21,62.1935,2.0842,1.5742,0.5099,0.1941,0.0
2026-04-22,62.6188,2.2575,1.8322,0.4253,0.2002,0.0
2026-04-23,62.4283,2.42,2.6104,-0.1904,0.2036,0.0
2026-04-24,62.1601,2.0935,2.3617,-0.2682,0.1915,0.0
2026-04-27,62.343,2.1923,2.0094,0.1829,0.2005,0.0
2026-04-28,62.2874,1.8717,1.9273,-0.0556,0.1827,0.0
2026-04-29,61.5032,2.5514,3.3356,-0.7842,0.1781,0.0
2026-04-30,61.3435,2.5442,2.704,-0.1597,0.1789,0.0
2026-05-06,62.0352,4.7772,4.0855,0.6917,0.1555,0.0
2026-05-07,62.9462,3.7727,2.8618,0.911,0.1826,0.0
2026-05-08,64.4372,4.4409,2.9499,1.491,0.1841,0.0
2026-05-11,64.0451,3.9194,4.3115,-0.3921,0.182,0.0
2026-05-12,64.0006,3.5257,3.5702,-0.0445,0.1864,0.0
2026-05-13,62.8944,2.6715,3.7777,-1.1062,0.1758,0.0
2026-05-14,62.8833,2.9199,2.931,-0.0111,0.1613,0.0
2026-05-15,62.5433,2.5998,2.9398,-0.3401,0.1633,0.0
2026-05-18,62.4335,2.8265,2.9363,-0.1098,0.1928,0.0
2026-05-19,62.8859,3.2168,2.7643,0.4524,0.1933,0.0
2026-05-20,62.4661,2.0799,2.4997,-0.4198,0.1831,0.0
2026-05-21,62.2312,2.8708,3.1057,-0.2349,0.1758,0.0
2026-05-22,61.9424,1.9401,2.2289,-0.2888,0.1668,0.0
2026-05-25,61.202,2.5166,3.2571,-0.7404,0.19,0.0
2026-05-26,62.1435,4.2924,3.3508,0.9416,0.2029,0.0
2026-05-27,63.9905,7.0701,5.2231,1.847,0.2274,0.0
2026-05-28,64.26,4.9449,4.6755,0.2694,0.214,0.0
2026-05-29,63.6044,3.7807,4.4362,-0.6555,0.2229,0.0
2026-06-01,64.1835,4.0462,3.4672,0.579,0.224,0.0
2026-06-02,64.2007,2.9305,2.9132,0.0172,0.2143,0.0
2026-06-03,63.2608,3.0372,3.9771,-0.9399,0.2164,0.0
2026-06-04,62.4774,2.7027,3.4861,-0.7834,0.1975,0.0
2026-06-05,62.3699,2.6332,2.7407,-0.1075,0.2072,0.0
2026-06-08,62.2209,2.1035,2.2525,-0.149,0.1949,0.0
2026-06-09,61.1619,1.3781,2.4371,-1.059,0.1725,0.0
2026-06-10,60.0781,2.1627,3.2466,-1.0839,0.1838,0.0
2026-06-11,59.7168,1.764,2.1253,-0.3613,0.1742,0.0
2026-06-12,60.882,3.8582,2.6929,1.1653,0.1729,0.0
2026-06-15,60.4922,1.9464,2.3362,-0.3898,0.1732,0.0
2026-06-16,60.6081,1.8583,1.7425,0.1159,0.1553,0.0
2026-06-17,59.5315,1.7016,2.7782,-1.0766,0.1555,0.0
2026-06-18,59.7877,3.0222,2.766,0.2562,0.1699,0.0
2026-06-22,60.2403,3.1409,2.6883,0.4526,0.1679,0.0
2026-06-23,60.2531,2.504,2.4912,0.0128,0.177,0.0
2026-06-24,60.0236,1.7739,2.0034,-0.2295,0.1622,0.0
2026-06-25,59.3106,1.9028,2.6158,-0.7131,0.1549,0.0
2026-06-26,58.3176,2.3603,3.3533,-0.993,0.1619,0.0
2026-06-29,57.8556,0.9991,1.461,-0.462,0.1556,0.0
2026-06-30,57.5945,2.023,2.2842,-0.2612,0.1566,0.0
2026-07-01,57.9796,2.4575,2.0724,0.3851,0.1636,0.0
2026-07-02,58.6793,3.2825,2.5828,0.6997,0.1609,0.0
2026-07-03,58.418,1.9301,2.1913,-0.2612,0.1654,0.0
2026-07-06,58.4162,1.6655,1.6673,-0.0018,0.1668,0.0
2026-07-07,58.4367,1.3276,1.3071,0.0204,0.1629,0.0
2026-07-08,58.4432,1.8006,1.7941,0.0065,0.1713,0.0
2026-07-09,58.0218,2.424,2.8453,-0.4213,0.1773,0.0
