date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-03-10,5.3108,0.9248,0.9203,0.0045,0.0156,0.0
2026-03-11,5.5195,1.3052,1.0965,0.2088,0.0196,0.0
2026-03-12,5.8173,1.3201,1.0223,0.2978,0.018,0.0
2026-03-13,6.0853,1.0078,0.7398,0.268,0.0139,0.0
2026-03-16,5.9865,0.7261,0.8249,-0.0988,0.0125,0.0
2026-03-17,5.8414,0.5794,0.7245,-0.1451,0.0108,0.0
2026-03-18,5.7391,0.4802,0.5824,-0.1022,0.0101,0.0
2026-03-19,6.0144,0.8458,0.5705,0.2753,0.011,0.0
2026-03-20,5.8135,0.6183,0.8192,-0.2009,0.0182,0.0
2026-03-23,5.3404,0.9232,1.3963,-0.4731,0.0212,0.0
2026-03-24,5.8066,1.3477,0.8815,0.4662,0.0173,0.0
2026-03-25,5.791,1.2672,1.2829,-0.0156,0.0291,0.0
2026-03-26,5.5978,1.0116,1.2048,-0.1931,0.0328,0.0
2026-03-27,5.3573,0.9753,1.2158,-0.2405,0.0337,0.0
2026-03-30,5.1859,0.79,0.9614,-0.1714,0.0286,0.0
2026-03-31,5.0108,0.6095,0.7846,-0.1751,0.0338,0.0
2026-04-01,4.8395,1.0891,1.2603,-0.1713,0.033,0.0
2026-04-02,5.1293,1.1166,0.8269,0.2898,0.0267,0.0
2026-04-03,4.7759,0.6391,0.9925,-0.3534,0.0171,0.0
2026-04-07,4.5017,0.6147,0.8889,-0.2742,0.0202,0.0
2026-04-08,4.4533,0.6765,0.7249,-0.0484,0.0194,0.0
2026-04-09,4.5073,0.6143,0.5602,0.0541,0.0269,0.0
2026-04-10,4.8305,1.1735,0.8504,0.3232,0.0249,0.0
2026-04-13,4.6711,0.5913,0.7507,-0.1594,0.016,0.0
2026-04-14,4.6815,0.5052,0.4948,0.0104,0.0199,0.0
2026-04-15,4.8716,0.9939,0.8038,0.1901,0.0209,0.0
2026-04-16,4.4531,0.5032,0.9218,-0.4186,0.0205,0.0
2026-04-17,4.4121,0.4152,0.4562,-0.0409,0.0214,0.0
2026-04-20,4.6646,0.7534,0.5009,0.2525,0.024,0.0
2026-04-21,4.9373,1.1028,0.8302,0.2726,0.023,0.0
2026-04-22,5.1651,0.7364,0.5085,0.2278,0.0244,0.0
2026-04-23,4.992,0.508,0.681,-0.173,0.0291,0.0
2026-04-24,4.7054,0.7144,1.001,-0.2867,0.0274,0.0
2026-04-27,4.572,0.517,0.6504,-0.1334,0.0316,0.0
2026-04-28,4.6218,0.8178,0.768,0.0498,0.0344,0.0
2026-04-29,4.7767,0.9344,0.7794,0.155,0.0277,0.0
2026-04-30,4.6019,0.5433,0.7181,-0.1748,0.0301,0.0
