date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-03-13,2.9871,1.1047,1.1082,-0.0035,0.0297,0.0
2026-03-16,2.8757,0.5829,0.6943,-0.1114,0.0292,0.0
2026-03-17,2.5215,0.4122,0.7664,-0.3542,0.0299,0.0
2026-03-18,2.5361,0.587,0.5724,0.0146,0.0293,0.0
2026-03-19,2.6544,0.8814,0.7632,0.1182,0.0296,0.0
2026-03-20,2.488,0.6429,0.8092,-0.1663,0.0313,0.0
2026-03-23,2.5064,0.5402,0.5219,0.0184,0.0302,0.0
2026-03-24,2.6633,1.1866,1.0297,0.1569,0.0321,0.0
2026-03-25,3.0578,1.7333,1.3388,0.3945,0.0329,0.0
2026-03-26,3.035,1.19,1.2128,-0.0229,0.0301,0.0
2026-03-27,2.817,0.5389,0.7569,-0.218,0.0271,0.0
2026-03-30,2.5302,0.5243,0.811,-0.2867,0.0291,0.0
2026-03-31,2.5068,0.499,0.5224,-0.0234,0.0267,0.0
2026-04-01,2.4716,0.2728,0.3079,-0.0352,0.0262,0.0
2026-04-02,2.5121,0.3932,0.3527,0.0405,0.0269,0.0
2026-04-03,2.474,0.3532,0.3913,-0.0382,0.026,0.0
2026-04-07,2.5058,0.2228,0.191,0.0318,0.0262,0.0
2026-04-08,2.4183,0.3121,0.3996,-0.0875,0.0263,0.0
2026-04-09,2.4161,0.2046,0.2068,-0.0022,0.0197,0.0
2026-04-10,2.4046,0.2235,0.2351,-0.0115,0.0191,0.0
2026-04-13,2.3332,0.2115,0.2829,-0.0714,0.0188,0.0
2026-04-14,2.2875,0.2697,0.3154,-0.0457,0.0221,0.0
2026-04-15,2.55,0.6897,0.4272,0.2625,0.0177,0.0
2026-04-16,2.6352,0.3979,0.3127,0.0853,0.022,0.0
2026-04-17,2.6418,0.4766,0.4701,0.0066,0.0231,0.0
2026-04-20,2.8228,1.1965,1.0155,0.181,0.0305,0.0
2026-04-21,2.6099,0.8865,1.0994,-0.2128,0.0332,0.0
2026-04-22,2.7276,0.591,0.4733,0.1177,0.0323,0.0
2026-04-23,3.086,1.4021,1.0436,0.3584,0.0345,0.0
2026-04-24,2.9621,0.8312,0.955,-0.1239,0.0328,0.0
2026-04-27,2.879,0.4761,0.5592,-0.0831,0.0316,0.0
2026-04-28,3.1246,1.0119,0.7663,0.2455,0.0342,0.0
2026-04-29,2.9826,1.6971,1.8391,-0.142,0.0364,0.0
2026-04-30,3.1317,1.1101,0.961,0.1491,0.0305,0.0
2026-05-06,3.9971,2.4919,1.6266,0.8654,0.0361,0.0
2026-05-07,4.3306,1.7311,1.3976,0.3335,0.0368,0.0
2026-05-08,4.2982,1.082,1.1143,-0.0323,0.0342,0.0
2026-05-11,3.7872,1.2078,1.7188,-0.511,0.0354,0.0
2026-05-12,3.9937,2.0677,1.8612,0.2065,0.0335,0.0
2026-05-13,3.8777,1.8187,1.9347,-0.1161,0.036,0.0
2026-05-14,3.8906,1.5784,1.5655,0.013,0.0352,0.0
2026-05-15,3.6522,1.0744,1.3129,-0.2384,0.0318,0.0
2026-05-18,3.505,0.4015,0.5487,-0.1472,0.0271,0.0
2026-05-19,3.4921,0.6403,0.6531,-0.0129,0.0311,0.0
2026-05-20,3.276,0.5708,0.787,-0.2162,0.0283,0.0
2026-05-21,3.5273,0.6575,0.4061,0.2514,0.0282,0.0
2026-05-22,3.3343,0.2655,0.4586,-0.1931,0.0276,0.0
2026-05-25,3.342,0.4467,0.439,0.0077,0.0316,0.0
2026-05-26,3.5395,0.524,0.3265,0.1975,0.0295,0.0
2026-05-27,4.6615,2.2934,1.1714,1.122,0.0344,0.0
2026-05-28,3.5941,1.6225,2.6899,-1.0674,0.0311,0.0
2026-05-29,4.2392,2.1456,1.5143,0.6313,0.0374,0.0
2026-06-01,3.9123,1.2634,1.5904,-0.327,0.036,0.0
2026-06-02,4.2946,1.7757,1.3933,0.3823,0.0364,0.0
2026-06-03,4.856,2.6889,2.1275,0.5614,0.0383,0.0
2026-06-04,4.3306,1.2023,1.7277,-0.5254,0.0373,0.0
2026-06-05,3.9749,1.0967,1.4523,-0.3556,0.0343,0.0
2026-06-08,3.623,0.375,0.727,-0.3519,0.0314,0.0
2026-06-09,3.6432,0.3855,0.3668,0.0187,0.0331,0.0
2026-06-10,3.6244,0.429,0.4479,-0.0189,0.0266,0.0
2026-06-11,3.5978,0.2324,0.2589,-0.0265,0.0248,0.0
2026-06-12,3.5398,0.266,0.3241,-0.0581,0.0262,0.0
2026-06-15,3.6095,0.3905,0.3208,0.0697,0.0326,0.0
2026-06-16,3.6745,0.4278,0.3628,0.065,0.0329,0.0
2026-06-17,3.6441,0.4379,0.4683,-0.0304,0.0292,0.0
2026-06-18,3.2451,0.337,0.7361,-0.399,0.0186,0.0
2026-06-22,3.2231,0.3253,0.3473,-0.022,0.0211,0.0
2026-06-23,3.2026,0.2487,0.2692,-0.0205,0.0233,0.0
2026-06-24,3.0438,0.2319,0.3907,-0.1588,0.0229,0.0
2026-06-25,2.7148,0.315,0.644,-0.329,0.0204,0.0
2026-06-26,2.5353,0.196,0.3755,-0.1795,0.0168,0.0
2026-06-29,2.5394,0.1863,0.1821,0.0042,0.0185,0.0
2026-06-30,2.5758,0.2116,0.1753,0.0364,0.0187,0.0
2026-07-01,2.5907,0.2285,0.2137,0.0149,0.0236,0.0
2026-07-02,2.4964,0.2122,0.3064,-0.0942,0.0194,0.0
2026-07-03,2.459,0.1703,0.2077,-0.0374,0.019,0.0
2026-07-06,2.3718,0.2329,0.3201,-0.0872,0.0182,0.0
2026-07-07,2.2905,0.1019,0.1832,-0.0813,0.0176,0.0
2026-07-08,2.2321,0.0642,0.1226,-0.0584,0.017,0.0
2026-07-09,2.2036,0.0782,0.1067,-0.0285,0.0169,0.0
2026-07-10,2.2118,0.1157,0.1075,0.0082,0.0173,0.0
2026-07-13,2.1606,0.1013,0.1526,-0.0513,0.0119,0.0
2026-07-14,2.1306,0.054,0.084,-0.0299,0.0144,0.0
2026-07-15,2.2332,0.2068,0.1042,0.1026,0.0186,0.0
2026-07-16,2.2762,0.257,0.214,0.043,0.0184,0.0
2026-07-17,2.1633,0.1353,0.2481,-0.1128,0.0204,0.0
2026-07-20,2.5398,1.6024,1.226,0.3765,0.0234,0.0
2026-07-21,2.9312,1.7682,1.3768,0.3914,0.0277,0.0
2026-07-22,3.7227,2.4907,1.6992,0.7915,0.0337,0.0
2026-07-23,2.807,1.506,2.4218,-0.9158,0.032,0.0
2026-07-24,3.2551,1.8122,1.3641,0.4481,0.0345,0.0
2026-07-27,2.8893,1.7607,2.1265,-0.3658,0.0319,0.0
2026-07-28,2.8742,2.2939,2.309,-0.0151,0.0303,0.0
2026-07-29,2.3399,0.9468,1.4812,-0.5344,0.027,0.0
2026-07-30,2.3815,0.8436,0.8019,0.0417,0.0221,0.0
2026-07-31,2.5976,0.9712,0.7541,0.217,0.024,0.0
2026-08-03,2.3841,0.8135,1.0269,-0.2135,0.0283,0.0
2026-08-04,2.6791,1.1098,0.8148,0.295,0.0259,0.0
2026-08-05,2.9201,0.911,0.67,0.241,0.0271,0.0
2026-08-06,2.8676,0.404,0.4565,-0.0525,0.0226,0.0
2026-08-07,2.8242,0.7413,0.7846,-0.0434,0.0307,0.0
