date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-05,44.2587,5.0799,2.5547,2.5252,0.6309,0.0
2026-02-06,43.6858,1.0122,1.5851,-0.573,0.6432,0.0
2026-02-09,43.8621,1.2795,1.1031,0.1764,0.6376,0.0
2026-02-10,44.9077,2.5911,1.5455,1.0456,0.6538,0.0
2026-02-11,42.093,2.3021,5.1169,-2.8148,0.6345,0.0
2026-02-12,41.2646,1.9146,2.743,-0.8284,0.6312,0.0
2026-02-13,39.2215,0.8072,2.8503,-2.0431,0.6145,0.0
2026-02-24,38.8708,1.5333,1.884,-0.3506,0.6204,0.0
2026-02-25,37.173,2.0876,3.7854,-1.6978,0.6078,0.0
2026-02-26,36.5228,1.8617,2.512,-0.6503,0.6,0.0
2026-02-27,36.4103,1.0664,1.1789,-0.1124,0.5971,0.0
2026-03-02,35.2318,1.1291,2.3076,-1.1785,0.5905,0.0
2026-03-03,34.2112,1.823,2.8436,-1.0206,0.5875,0.0
2026-03-04,33.7015,0.5735,1.0833,-0.5098,0.5784,0.0
2026-03-05,33.0865,0.5744,1.1893,-0.6149,0.5856,0.0
2026-03-06,32.6704,0.733,1.1492,-0.4162,0.596,0.0
2026-03-09,32.1666,0.5164,1.0202,-0.5038,0.5953,0.0
2026-03-10,32.3251,0.8558,0.6972,0.1585,0.5987,0.0
2026-03-11,31.8042,0.5715,1.0924,-0.5209,0.6091,0.0
2026-03-12,31.9365,1.1042,0.9719,0.1323,0.6201,0.0
2026-03-13,30.9528,0.8265,1.8102,-0.9837,0.6244,0.0
2026-03-16,30.6894,0.6942,0.9576,-0.2635,0.619,0.0
2026-03-17,30.2331,0.401,0.8572,-0.4562,0.6197,0.0
2026-03-18,30.5461,1.2939,0.981,0.3129,0.6317,0.0
2026-03-19,31.7077,1.9543,0.7927,1.1616,0.6088,0.0
2026-03-20,32.303,1.9694,1.374,0.5954,0.6142,0.0
2026-03-23,32.9743,1.6727,1.0014,0.6713,0.571,0.0
2026-03-24,33.2801,1.1523,0.8465,0.3058,0.5843,0.0
2026-03-25,33.4231,1.1477,1.0047,0.143,0.5834,0.0
2026-03-26,33.5742,0.7721,0.621,0.1511,0.5746,0.0
2026-03-27,34.456,1.5813,0.6996,0.8818,0.5785,0.0
2026-03-30,35.9181,2.1672,0.7051,1.4621,0.5805,0.0
2026-03-31,37.3781,1.9275,0.4675,1.46,0.588,0.0
2026-04-01,38.0511,1.149,0.4761,0.673,0.5916,0.0
2026-04-02,38.9224,1.3335,0.4622,0.8713,0.596,0.0
2026-04-03,39.5463,1.1808,0.5569,0.6239,0.5874,0.0
2026-04-07,40.4787,1.5769,0.6446,0.9324,0.5846,0.0
2026-04-08,41.1918,1.7166,1.0035,0.7131,0.5942,0.0
2026-04-09,41.2883,0.7399,0.6433,0.0966,0.5921,0.0
2026-04-10,42.1011,2.057,1.2442,0.8128,0.6213,0.0
