date,margin_balance,margin_buy,margin_repay,margin_net,short_balance,close_price
2026-02-04,34.5187,3.7331,5.0366,-1.3034,0.1381,0.0
2026-02-05,33.7481,1.51,2.2806,-0.7707,0.1404,0.0
2026-02-06,32.3147,3.0475,4.4808,-1.4333,0.1416,0.0
2026-02-09,34.8279,6.634,4.1208,2.5131,0.1569,0.0
2026-02-10,33.6471,1.5818,2.7625,-1.1808,0.1489,0.0
2026-02-11,33.2249,3.156,3.5782,-0.4222,0.1322,0.0
2026-02-12,31.8569,3.4587,4.8267,-1.368,0.1114,0.0
2026-02-13,30.6118,2.1389,3.384,-1.2451,0.1102,0.0
2026-02-24,31.6506,5.3886,4.3497,1.0389,0.1202,0.0
2026-02-25,33.7215,10.3682,8.2974,2.0709,0.1608,0.0
2026-02-26,27.0987,10.9136,17.5364,-6.6228,0.2062,0.0
2026-02-27,30.0093,12.0658,9.1552,2.9106,0.1819,0.0
2026-03-02,34.1702,9.5335,5.3726,4.1609,0.1774,0.0
2026-03-03,30.3153,7.5673,11.4221,-3.8548,0.1588,0.0
2026-03-04,31.8665,5.8339,4.2827,1.5511,0.1671,0.0
2026-03-05,31.5302,5.7494,6.0856,-0.3363,0.141,0.0
2026-03-06,32.3401,3.567,2.7571,0.8099,0.1395,0.0
2026-03-09,31.5015,4.9545,5.7931,-0.8386,0.1263,0.0
2026-03-10,33.5153,5.9299,3.9162,2.0138,0.131,0.0
2026-03-11,33.7135,4.8692,4.6709,0.1983,0.1563,0.0
2026-03-12,35.0553,5.7263,4.3845,1.3418,0.1679,0.0
2026-03-13,36.3532,15.0662,13.7684,1.2978,0.1744,0.0
2026-03-16,39.2223,12.0574,9.1883,2.8691,0.1608,0.0
2026-03-17,40.2849,18.2009,17.1383,1.0627,0.2014,0.0
2026-03-18,42.0843,16.5791,14.7798,1.7994,0.1734,0.0
2026-03-19,39.1897,8.9998,11.8944,-2.8946,0.2151,0.0
2026-03-20,34.8471,7.2811,11.6237,-4.3426,0.1926,0.0
2026-03-23,35.5942,7.2951,6.548,0.7471,0.1789,0.0
2026-03-24,36.0321,5.8173,5.3795,0.4379,0.1894,0.0
2026-03-25,37.6014,7.7326,6.1633,1.5693,0.1932,0.0
2026-03-26,37.0997,5.7256,6.2273,-0.5017,0.2028,0.0
2026-03-27,36.8695,5.1997,5.4298,-0.2302,0.1989,0.0
2026-03-30,36.6272,2.9838,3.2262,-0.2423,0.1907,0.0
2026-03-31,36.9142,4.3149,4.0279,0.287,0.1747,0.0
2026-04-01,37.1241,5.0699,4.86,0.21,0.1832,0.0
2026-04-02,37.5248,3.7609,3.3602,0.4007,0.1638,0.0
2026-04-03,37.2317,3.752,4.0451,-0.2932,0.1721,0.0
2026-04-07,37.5735,3.9155,3.5737,0.3418,0.197,0.0
2026-04-08,38.3339,8.9855,8.2251,0.7604,0.2434,0.0
2026-04-09,37.027,7.0709,8.3778,-1.307,0.2312,0.0
2026-04-10,39.5655,10.9535,8.415,2.5386,0.2319,0.0
2026-04-13,39.8282,8.074,7.8113,0.2627,0.1863,0.0
2026-04-14,40.7885,11.3621,10.4017,0.9603,0.1744,0.0
2026-04-15,36.5928,11.3761,15.5718,-4.1957,0.1292,0.0
2026-04-16,36.4165,7.2145,7.3909,-0.1763,0.133,0.0
2026-04-17,43.0953,14.6344,7.9557,6.6787,0.1851,0.0
2026-04-20,43.4559,8.8596,8.499,0.3606,0.2048,0.0
2026-04-21,44.4988,8.1748,7.132,1.0429,0.178,0.0
2026-04-22,44.5546,8.1635,8.1076,0.0558,0.2221,0.0
2026-04-23,43.2755,11.1997,12.4788,-1.2791,0.2406,0.0
2026-04-24,39.4153,8.5877,12.4479,-3.8602,0.1896,0.0
2026-04-27,37.6689,7.0588,8.8052,-1.7464,0.204,0.0
2026-04-28,36.5314,4.7927,5.9302,-1.1375,0.1796,0.0
2026-04-29,36.832,6.3964,6.0958,0.3006,0.1788,0.0
2026-04-30,35.3781,4.2442,5.6981,-1.4539,0.1882,0.0
2026-05-06,36.719,7.4414,6.1005,1.3409,0.2154,0.0
2026-05-07,37.0833,7.8363,7.472,0.3643,0.3048,0.0
2026-05-08,37.5621,7.0172,6.5384,0.4788,0.3074,0.0
2026-05-11,39.179,10.5175,8.9006,1.6169,0.3167,0.0
2026-05-12,39.6053,8.0471,7.6207,0.4264,0.3103,0.0
2026-05-13,40.0164,8.6833,8.2722,0.4111,0.3148,0.0
2026-05-14,42.3433,9.937,7.6102,2.3268,0.2638,0.0
2026-05-15,41.4035,6.4645,7.4043,-0.9398,0.2671,0.0
2026-05-18,41.7332,5.7406,5.4109,0.3297,0.2769,0.0
2026-05-19,40.9688,5.608,6.3724,-0.7644,0.2083,0.0
2026-05-20,40.2995,4.0596,4.7289,-0.6692,0.2195,0.0
2026-05-21,41.5057,8.9258,7.7196,1.2062,0.1919,0.0
2026-05-22,43.105,13.8772,12.278,1.5993,0.2026,0.0
2026-05-25,45.3146,14.0841,11.8745,2.2096,0.198,0.0
2026-05-26,45.833,17.7535,17.2352,0.5183,0.2511,0.0
2026-05-27,45.3493,12.9723,13.456,-0.4837,0.238,0.0
2026-05-28,50.9924,15.4381,9.7949,5.6432,0.2197,0.0
2026-05-29,53.8609,15.0332,12.1647,2.8685,0.2197,0.0
2026-06-01,49.23,9.615,14.246,-4.631,0.2072,0.0
2026-06-02,46.9886,10.2203,12.4616,-2.2413,0.2275,0.0
2026-06-03,48.7612,15.1793,13.4068,1.7726,0.2286,0.0
2026-06-04,50.4271,18.4532,16.7873,1.6659,0.2629,0.0
2026-06-05,50.8882,14.5503,14.0892,0.4611,0.2173,0.0
2026-06-08,59.057,21.8765,13.7077,8.1688,0.2222,0.0
2026-06-09,68.6962,24.0374,14.3983,9.6392,0.2552,0.0
2026-06-10,65.3915,16.6337,19.9384,-3.3047,0.2471,0.0
2026-06-11,62.3175,10.2831,13.3571,-3.0741,0.2099,0.0
2026-06-12,64.7321,14.1689,11.7543,2.4146,0.2048,0.0
2026-06-15,66.4489,18.3603,16.6436,1.7168,0.2269,0.0
2026-06-16,65.1275,20.3078,21.6292,-1.3214,0.2803,0.0
2026-06-17,63.3677,18.4962,20.2559,-1.7598,0.284,0.0
2026-06-18,61.5815,15.8957,17.682,-1.7862,0.235,0.0
2026-06-22,63.0923,15.0458,13.535,1.5109,0.2406,0.0
2026-06-23,65.3584,13.532,11.2659,2.2661,0.2165,0.0
2026-06-24,65.0902,9.8776,10.1459,-0.2682,0.2372,0.0
2026-06-25,68.1442,19.285,16.231,3.0541,0.243,0.0
2026-06-26,71.1202,15.2306,12.2546,2.976,0.2535,0.0
2026-06-29,69.6557,11.9576,13.4221,-1.4645,0.2119,0.0
2026-06-30,70.781,16.9531,15.8278,1.1253,0.2705,0.0
2026-07-01,68.8827,13.6095,15.5078,-1.8983,0.2235,0.0
2026-07-02,68.6152,13.3574,13.625,-0.2676,0.2169,0.0
2026-07-03,64.9289,10.2338,13.92,-3.6862,0.2065,0.0
2026-07-06,62.8431,8.2119,10.2977,-2.0858,0.1977,0.0
2026-07-07,63.8961,7.8356,6.7826,1.053,0.2035,0.0
2026-07-08,62.3459,5.0286,6.5788,-1.5502,0.206,0.0
2026-07-09,62.1888,8.2003,8.3574,-0.1571,0.2469,0.0
2026-07-10,62.062,9.4276,9.5543,-0.1267,0.212,0.0
2026-07-13,61.9261,4.9797,5.1156,-0.136,0.2654,0.0
2026-07-14,59.0782,8.5616,11.4095,-2.8479,0.2848,0.0
2026-07-15,59.9613,9.549,8.6658,0.8832,0.2916,0.0
